timestamp,manufacturer,group0_voltage,remaining_percent,cycle_count,design_capacity,power_now,remaining_capacity,charging_max_current,voltage,chemistry,group1_voltage,current_avg,inhibit_charge_minutes,model,design_voltage,installed,dump,temperature,charging_max_voltage,remaining_running_time,remaining_charging_time,group2_voltage,serial,force_discharge,power_avg,barcoding,start_charge_thresh,manufacture_date,stop_charge_thresh,last_full_capacity,state,current_now,remaining_percent_error,group3_voltage,first_use_date,remaining_running_time_now
2017-05-29 09:19:13.216692,SANYO,3920,85,15,86580,-9664,71060,3000,11772,LION,3925,-944,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b fc 2d cb fc 50 fc 55 00 c2 1b 40 d0 b5 20 d3 01 96 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 57 0f 55 0f 50 0f 07 06 ,27900,12900,406,not_charging,3927,23085,,-11112,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-835,1,0,2017-05-20,459
2017-05-29 09:19:14.473455,SANYO,3922,85,15,86580,-9833,71050,3000,11777,LION,3925,-938,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b 01 2e bd fc 56 fc 55 00 c1 1b 40 d0 b5 20 cb 01 99 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5a 0f 55 0f 52 0f 07 06 ,27900,12900,409,not_charging,3930,23085,,-11046,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-835,1,0,2017-05-20,459
2017-05-29 09:19:15.730104,SANYO,3908,85,15,86580,-10587,71050,3000,11751,LION,3919,-937,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b e7 2d 7b fc 57 fc 55 00 c1 1b 40 d0 b5 20 aa 01 99 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 54 0f 4f 0f 44 0f 07 06 ,27900,12900,409,not_charging,3924,23085,,-11010,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-901,1,0,2017-05-20,426
2017-05-29 09:19:16.986767,SANYO,3908,85,15,86580,-10587,71050,3000,11751,LION,3919,-937,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b e7 2d 7b fc 57 fc 55 00 c1 1b 40 d0 b5 20 aa 01 99 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 54 0f 4f 0f 44 0f 07 06 ,27900,12900,409,not_charging,3924,23085,,-11010,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-901,1,0,2017-05-20,426
2017-05-29 09:19:18.243366,SANYO,3922,85,15,86580,-14888,71040,3000,11779,LION,3925,-948,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b 03 2e 10 fb 4c fc 55 00 c0 1b 40 d0 b5 20 2f 01 95 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5c 0f 55 0f 52 0f 07 06 ,27900,12900,405,not_charging,3932,23085,,-11166,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-1264,1,0,2017-05-20,303
2017-05-29 09:19:19.499997,SANYO,3922,85,15,86580,-14888,71040,3000,11779,LION,3925,-948,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b 03 2e 10 fb 4c fc 55 00 c0 1b 40 d0 b5 20 2f 01 95 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5c 0f 55 0f 52 0f 07 06 ,27900,12900,405,not_charging,3932,23085,,-11146,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-917,1,0,2017-05-20,418
2017-05-29 09:19:20.756772,SANYO,3907,85,15,86580,-10771,71020,3000,11746,LION,3917,-949,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b e2 2d 6b fc 4b fc 55 00 be 1b 40 d0 b5 20 a2 01 94 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 52 0f 4d 0f 43 0f 07 06 ,27900,12900,404,not_charging,3922,23085,,-11146,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-917,1,0,2017-05-20,418
2017-05-29 09:19:22.013313,SANYO,3919,85,15,86580,-9996,71020,3000,11774,LION,3925,-949,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b fe 2d af fc 4b fc 55 00 be 1b 40 d0 b5 20 c4 01 94 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5a 0f 55 0f 4f 0f 07 06 ,27900,12900,404,not_charging,3930,23085,,-11173,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-849,1,0,2017-05-20,452
2017-05-29 09:19:23.266810,SANYO,3919,85,15,86580,-9996,71020,3000,11774,LION,3925,-949,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b fe 2d af fc 4b fc 55 00 be 1b 40 d0 b5 20 c4 01 94 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5a 0f 55 0f 4f 0f 07 06 ,27900,12900,404,not_charging,3930,23085,,-11173,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-849,1,0,2017-05-20,452
2017-05-29 09:19:24.523348,SANYO,3917,85,15,86580,-11335,71010,3000,11759,LION,3917,-950,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b ef 2d 3c fc 4a fc 55 00 bd 1b 40 d0 b5 20 8e 01 94 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 55 0f 4d 0f 4d 0f 07 06 ,27900,12900,404,not_charging,3925,23085,,-11171,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-964,1,0,2017-05-20,398
2017-05-29 09:19:25.780281,SANYO,3917,85,15,86580,-11335,71010,3000,11759,LION,3917,-950,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b f6 2d 89 fc 55 fc 55 00 bd 1b 40 d0 b5 20 b0 01 98 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5c 0f 54 0f 46 0f 07 06 ,27900,12900,408,not_charging,3932,23085,,-11048,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-887,1,0,2017-05-20,432
2017-05-29 09:19:27.033478,SANYO,3910,85,15,86580,-10436,71010,3000,11766,LION,3924,-939,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b f6 2d 89 fc 55 fc 55 00 bd 1b 40 d0 b5 20 b0 01 98 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5c 0f 54 0f 46 0f 07 06 ,27900,12900,408,not_charging,3932,23085,,-11048,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-887,1,0,2017-05-20,432
2017-05-29 09:19:28.290119,SANYO,3919,85,15,86580,-10031,71000,3000,11774,LION,3925,-936,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b fe 2d ac fc 58 fc 55 00 bc 1b 40 d0 b5 20 c2 01 9a 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5a 0f 55 0f 4f 0f 07 06 ,27900,12900,410,not_charging,3930,23085,,-11020,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-852,1,0,2017-05-20,450
2017-05-29 09:19:29.546776,SANYO,3919,85,15,86580,-10031,71000,3000,11774,LION,3925,-936,0,42T4940,11100,1,40 80 01 03 e8 00 -- -- -- -- -- -- -- -- -- 00 40 d0 04 80 c2 0b fe 2d ac fc 58 fc 55 00 bc 1b 40 d0 b5 20 c2 01 9a 01 ff ff c0 00 0f 00 c2 0b 40 d0 d2 21 5c 2b 31 00 5f 49 2d 5a 00 00 00 00 40 d0 53 41 4e 59 4f 00 31 31 00 00 00 00 00 00 40 d0 34 32 54 34 39 34 30 00 00 00 00 00 00 00 40 d0 4c 49 4f 4e 00 00 00 00 00 00 00 00 00 00 40 d0 31 5a 4a 42 44 31 35 58 34 48 33 00 00 00 40 d0 b4 4a 21 00 80 00 03 00 5c 00 30 00 fa 00 40 d0 18 00 01 00 b8 0b 64 32 00 00 00 00 00 00 40 d0 56 00 cf 02 00 00 5a 0f 55 0f 4f 0f 07 06 ,27900,12900,410,not_charging,3930,23085,,-11020,1ZJBD15X4H3,,2016-10-31,100,83730,discharging,-852,1,0,2017-05-20,450
